Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_resnet110_sync_winograd,2,53.069,197.6923,259.595,23.63766667,267.9013,64207
cifar10_resnet110_sync_xla,1,53.6128,217.2948,295.2602,3.888,295.8296,64441
cifar10_resnet110_sync_xla,2,43.6865,195.9135,257.4988,42.32344444,269.6278,64336
cifar10_resnet110_v2_async_batch128,1,39.2256,215.5632,262.3215,5.983,265.1158,62081
cifar10_resnet110_v2_async_batch128,2,44.7002,199.1877,232.78,24.28088889,252.2361,62020
cifar10_resnet110_v2_async_batch256,1,49.9498,213.9247,267.3472,5.269444444,269.4282,62156
cifar10_resnet110_v2_async_batch256,2,36.2371,225.7494,239.1745,42.17266667,275.9958,62142
cifar10_resnet110_v2_async_batch32,1,47.8126,210.0294,257.5202,6.021777778,260.1731,60946
cifar10_resnet110_v2_async_batch32,2,43.0603,191.1084,231.1511,11.17488889,236.6459,60889
cifar10_resnet110_v2_async_batch512,1,39.508,287.3849,340.8581,2.632111111,342.1412,64462
cifar10_resnet110_v2_async_batch512,2,38.0546,327.1273,233.5224,155.2906667,377.1649,64086
cifar10_resnet110_v2_async_batch64,1,43.9416,185.4008,241.4356,4.462888889,243.708,61430
cifar10_resnet110_v2_async_batch64,2,48.0687,211.6444,252.864,14.50955556,263.1284,61279
cifar10_resnet110_v2_async_dataFormat,1,54.036,201.2843,245.7578,6.663555556,248.7909,61260
cifar10_resnet110_v2_async_dataFormat,2,49.2655,180.5867,221.5478,17.12466667,234.5014,60855
cifar10_resnet110_v2_async_optMomentum,1,40.8397,203.7729,211.6257,5.369,213.7771,35910
cifar10_resnet110_v2_async_optMomentum,2,60.5783,223.4578,224.4483,19.31733333,236.2136,35909
cifar10_resnet110_v2_async_optRmsprop,1,43.5186,226.9088,239.5701,4.951111111,241.0606,39950
cifar10_resnet110_v2_async_optRmsprop,2,46.2647,256.3851,262.0368,11.947,269.1811,39898
cifar10_resnet110_v2_async_use_fp16,1,39.1377,217.3868,258.7891,4.602444444,261.3869,33359
cifar10_resnet110_v2_async_use_fp16,2,50.2584,232.3817,282.0036,13.58488889,291.6654,33300
cifar10_resnet110_v2_async_winograd,1,43.7509,171.1992,230.9927,4.422666667,233.0319,60982
cifar10_resnet110_v2_async_winograd,2,43.2178,181.4159,217.5506,17.47244444,228.7668,60980
cifar10_resnet110_v2_async_xla,1,35.417,190.1894,238.1095,5.400222222,240.9832,61847
cifar10_resnet110_v2_async_xla,2,42.6474,173.2739,219.65,9.734888889,223.8581,61845
cifar10_resnet110_v2_sync_batch128,1,50.9851,196.6161,253.5672,3.948333333,254.8968,32007
cifar10_resnet110_v2_sync_batch128,2,50.0424,189.9657,241.1119,11.49155556,245.6,31443
cifar10_resnet110_v2_sync_batch256,1,38.007,248.8034,299.6277,4.014888889,300.8135,63471
cifar10_resnet110_v2_sync_batch256,2,41.8545,240.6141,261.6185,43.55044444,295.992,63419
cifar10_resnet110_v2_sync_batch32,1,48.8142,214.176,278.1034,3.565444444,279.112,32164
cifar10_resnet110_v2_sync_batch32,2,52.778,179.6415,240.2796,44.31977778,246.2338,32199
cifar10_resnet110_v2_sync_batch512,1,59.3378,299.7038,369.5444,3.934222222,371.0314,64594
cifar10_resnet110_v2_sync_batch512,2,51.4261,315.0927,245.697,124.8308889,369.1976,64581
cifar10_resnet110_v2_sync_batch64,1,56.9155,205.7434,266.2707,4.329111111,267.5089,62128
cifar10_resnet110_v2_sync_batch64,2,51.8333,174.3104,218.6195,56.94855556,224.7287,61834
cifar10_resnet110_v2_sync_dataFormat,1,46.0589,192.7883,250.0145,4.304111111,252.3467,61739
cifar10_resnet110_v2_sync_dataFormat,2,50.1882,165.8662,234.0334,17.64644444,236.5227,61591
cifar10_resnet110_v2_sync_optMomentum,1,38.5483,243.5208,254.2963,4.582,256.4418,66298
