Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB)
cifar10_resnet110_v2_async_batch256,2,0,0,0,0,0,0,4870.9375
cifar10_resnet110_v2_async_batch32,1,0,0,0,0,0,0,1157.0
cifar10_resnet110_v2_async_batch32,2,0,0,0,0,0,0,1156.9375
cifar10_resnet110_v2_async_batch512,1,0,0,0,0,0,0,9095.0
cifar10_resnet110_v2_async_batch512,2,0,0,0,0,0,0,9094.9375
cifar10_resnet110_v2_async_batch64,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_async_batch64,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_async_dataFormat,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_async_dataFormat,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_async_optMomentum,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_async_optMomentum,2,0,0,0,0,0,0,1668.9375
cifar10_resnet110_v2_async_optRmsprop,1,0,0,0,0,0,0,1669.0
cifar10_resnet110_v2_async_optRmsprop,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_async_use_fp16,1,0,0,0,0,0,0,1189.0
cifar10_resnet110_v2_async_use_fp16,2,0,0,0,0,0,0,1188.9375
cifar10_resnet110_v2_async_winograd,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_async_winograd,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_async_xla,1,0,0,0,0,0,0,1669.0
cifar10_resnet110_v2_async_xla,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_sync_batch128,1,0,0,0,0,0,0,2757.0
cifar10_resnet110_v2_sync_batch128,2,0,0,0,0,0,0,2756.9375
cifar10_resnet110_v2_sync_batch256,1,0,0,0,0,0,0,4871.0
cifar10_resnet110_v2_sync_batch256,2,0,0,0,0,0,0,4870.9375
cifar10_resnet110_v2_sync_batch32,1,0,0,0,0,0,0,1157.0
cifar10_resnet110_v2_sync_batch32,2,0,0,0,0,0,0,1156.9375
cifar10_resnet110_v2_sync_batch512,1,0,0,0,0,0,0,9095.0
cifar10_resnet110_v2_sync_batch512,2,0,0,0,0,0,0,9094.9375
cifar10_resnet110_v2_sync_batch64,1,0,0,0,0,0,0,1669.0
cifar10_resnet110_v2_sync_batch64,2,0,0,0,0,0,0,1668.9375
cifar10_resnet110_v2_sync_dataFormat,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_sync_dataFormat,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_sync_optMomentum,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_sync_optMomentum,2,0,0,0,0,0,0,1668.9375
cifar10_resnet110_v2_sync_optRmsprop,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_sync_optRmsprop,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_sync_use_fp16,1,0,0,0,0,0,0,1189.0
cifar10_resnet110_v2_sync_use_fp16,2,0,0,0,0,0,0,1188.9375
cifar10_resnet110_v2_sync_winograd,1,0,0,0,0,0,0,1669.0
cifar10_resnet110_v2_sync_winograd,2,0,0,0,0,0,0,1700.9375
cifar10_resnet110_v2_sync_xla,1,0,0,0,0,0,0,1701.0
cifar10_resnet110_v2_sync_xla,2,0,0,0,0,0,0,1668.9375
cifar10_resnet20_async_batch128,1,0,0,0,0,0,0,1221.0
cifar10_resnet20_async_batch128,2,0,0,0,0,0,0,1220.9375
cifar10_resnet20_async_batch256,1,0,0,0,0,0,0,1799.0
cifar10_resnet20_async_batch256,2,0,0,0,0,0,0,1798.9375
cifar10_resnet20_async_batch32,1,0,0,0,0,0,0,789.0
cifar10_resnet20_async_batch32,2,0,0,0,0,0,0,788.9375
cifar10_resnet20_async_batch512,1,0,0,0,0,0,0,2967.0
cifar10_resnet20_async_batch512,2,0,0,0,0,0,0,2950.9375
cifar10_resnet20_async_batch64,1,0,0,0,0,0,0,933.0
cifar10_resnet20_async_batch64,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_async_dataFormat,1,0,0,0,0,0,0,933.0
cifar10_resnet20_async_dataFormat,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_async_optMomentum,1,0,0,0,0,0,0,933.0
cifar10_resnet20_async_optMomentum,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_async_optRmsprop,1,0,0,0,0,0,0,933.0
cifar10_resnet20_async_optRmsprop,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_async_use_fp16,1,0,0,0,0,0,0,917.0
cifar10_resnet20_async_use_fp16,2,0,0,0,0,0,0,916.9375
cifar10_resnet20_async_winograd,1,0,0,0,0,0,0,933.0
cifar10_resnet20_async_winograd,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_async_xla,1,0,0,0,0,0,0,933.0
cifar10_resnet20_async_xla,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_sync_batch128,1,0,0,0,0,0,0,1221.0
cifar10_resnet20_sync_batch128,2,0,0,0,0,0,0,1220.9375
cifar10_resnet20_sync_batch256,1,0,0,0,0,0,0,1807.0
cifar10_resnet20_sync_batch256,2,0,0,0,0,0,0,1806.9375
cifar10_resnet20_sync_batch32,1,0,0,0,0,0,0,789.0
cifar10_resnet20_sync_batch32,2,0,0,0,0,0,0,788.9375
cifar10_resnet20_sync_batch512,1,0,0,0,0,0,0,2951.0
cifar10_resnet20_sync_batch512,2,0,0,0,0,0,0,2950.9375
cifar10_resnet20_sync_batch64,1,0,0,0,0,0,0,933.0
cifar10_resnet20_sync_batch64,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_sync_dataFormat,1,0,0,0,0,0,0,933.0
cifar10_resnet20_sync_dataFormat,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_sync_optMomentum,1,0,0,0,0,0,0,933.0
cifar10_resnet20_sync_optMomentum,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_sync_optRmsprop,1,0,0,0,0,0,0,933.0
cifar10_resnet20_sync_optRmsprop,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_sync_use_fp16,1,0,0,0,0,0,0,917.0
cifar10_resnet20_sync_use_fp16,2,0,0,0,0,0,0,916.9375
cifar10_resnet20_sync_winograd,1,0,0,0,0,0,0,933.0
cifar10_resnet20_sync_winograd,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_sync_xla,1,0,0,0,0,0,0,933.0
cifar10_resnet20_sync_xla,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_async_batch128,1,0,0,0,0,0,0,1221.0
cifar10_resnet20_v2_async_batch128,2,0,0,0,0,0,0,1220.9375
cifar10_resnet20_v2_async_batch256,1,0,0,0,0,0,0,1799.0
cifar10_resnet20_v2_async_batch256,2,0,0,0,0,0,0,1806.9375
cifar10_resnet20_v2_async_batch32,1,0,0,0,0,0,0,789.0
cifar10_resnet20_v2_async_batch32,2,0,0,0,0,0,0,788.9375
cifar10_resnet20_v2_async_batch512,1,0,0,0,0,0,0,2967.0
cifar10_resnet20_v2_async_batch512,2,0,0,0,0,0,0,2950.9375
cifar10_resnet20_v2_async_batch64,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_async_batch64,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_async_dataFormat,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_async_dataFormat,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_async_optMomentum,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_async_optMomentum,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_async_optRmsprop,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_async_optRmsprop,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_async_use_fp16,1,0,0,0,0,0,0,917.0
cifar10_resnet20_v2_async_use_fp16,2,0,0,0,0,0,0,916.9375
cifar10_resnet20_v2_async_winograd,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_async_winograd,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_async_xla,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_async_xla,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_sync_batch128,1,0,0,0,0,0,0,1221.0
cifar10_resnet20_v2_sync_batch128,2,0,0,0,0,0,0,1220.9375
cifar10_resnet20_v2_sync_batch256,1,0,0,0,0,0,0,1807.0
cifar10_resnet20_v2_sync_batch256,2,0,0,0,0,0,0,1806.9375
cifar10_resnet20_v2_sync_batch32,1,0,0,0,0,0,0,789.0
cifar10_resnet20_v2_sync_batch32,2,0,0,0,0,0,0,788.9375
cifar10_resnet20_v2_sync_batch512,1,0,0,0,0,0,0,2967.0
cifar10_resnet20_v2_sync_batch512,2,0,0,0,0,0,0,2966.9375
cifar10_resnet20_v2_sync_batch64,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_sync_batch64,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_sync_dataFormat,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_sync_dataFormat,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_sync_optMomentum,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_sync_optMomentum,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_sync_optRmsprop,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_sync_optRmsprop,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_sync_use_fp16,1,0,0,0,0,0,0,917.0
cifar10_resnet20_v2_sync_use_fp16,2,0,0,0,0,0,0,916.9375
cifar10_resnet20_v2_sync_winograd,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_sync_winograd,2,0,0,0,0,0,0,932.9375
cifar10_resnet20_v2_sync_xla,1,0,0,0,0,0,0,933.0
cifar10_resnet20_v2_sync_xla,2,0,0,0,0,0,0,932.9375
cifar10_resnet32_async_batch128,1,0,0,0,0,0,0,1221.0
cifar10_resnet32_async_batch128,2,0,0,0,0,0,0,1220.9375
cifar10_resnet32_async_batch256,1,0,0,0,0,0,0,1807.0
cifar10_resnet32_async_batch256,2,0,0,0,0,0,0,1798.9375
cifar10_resnet32_async_batch32,1,0,0,0,0,0,0,789.0
cifar10_resnet32_async_batch32,2,0,0,0,0,0,0,788.9375
cifar10_resnet32_async_batch512,1,0,0,0,0,0,0,2967.0
cifar10_resnet32_async_batch512,2,0,0,0,0,0,0,2950.9375
cifar10_resnet32_async_batch64,1,0,0,0,0,0,0,933.0
cifar10_resnet32_async_batch64,2,0,0,0,0,0,0,932.9375
cifar10_resnet32_async_dataFormat,1,0,0,0,0,0,0,933.0
cifar10_resnet32_async_dataFormat,2,0,0,0,0,0,0,932.9375
cifar10_resnet32_async_optMomentum,1,0,0,0,0,0,0,933.0
cifar10_resnet32_async_optMomentum,2,0,0,0,0,0,0,932.9375
cifar10_resnet32_async_optRmsprop,1,0,0,0,0,0,0,933.0
cifar10_resnet32_async_optRmsprop,2,0,0,0,0,0,0,932.9375
