Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,densenet100k24,sync,batch128,1,266.7963,764.0101,493.2406,353.8864444,845.9356,3,29,,,,
cifar10,densenet100k24,sync,batch128,2,190.3511,761.4411,482.8863,374.0574444,842.579,55785,28.9375,,,,
cifar10,densenet100k24,sync,batch32,1,117.1548,287.4606,327.2634,74.55088889,409.0146,71201,8837,,,,
cifar10,densenet100k24,sync,batch32,2,128.3402,300.96,324.3492,89.02288889,399.9996,71145,8836.9375,,,,
cifar10,densenet100k24,sync,batch64,1,161.9062,457.7024,409.6397,141.9728889,549.7115,76178,33,,,,
cifar10,densenet100k24,sync,batch64,2,171.8552,460.4184,385.9379,168.9724444,544.821,76223,32.9375,,,,
cifar10,densenet100k24,sync,dataFormat,1,130.4205,344.4536,334.009,125.2727778,454.6185,74704,0,,,,
cifar10,densenet100k24,sync,dataFormat,2,121.573,357.8211,330.7104,118.7662222,451.0197,74605,0,,,,
cifar10,densenet100k24,sync,optMomentum,1,147.7822,473.1275,353.4109,183.5518889,531.2603,51863,387,,,,
cifar10,densenet100k24,sync,optMomentum,2,161.4313,501.162,368.7964,167.4596667,526.7078,51585,386.9375,,,,
cifar10,densenet100k24,sync,optRmsprop,1,140.8422,484.0636,380.3772,159.4678889,535.8821,89987,31,,,,
cifar10,densenet100k24,sync,optRmsprop,2,124.5935,508.1405,379.1742,159.1171111,528.1662,89922,30.9375,,,,
cifar10,densenet100k24,sync,usefp16,1,106.8809,340.2038,359.5247,107.4216667,465.195,78746,8837,,,,
cifar10,densenet100k24,sync,usefp16,2,109.7769,377.2859,376.9017,94.28522222,451.9395,78684,8836.9375,,,,
cifar10,densenet100k24,sync,winograd,1,155.9622,428.0579,365.5517,167.956,533.6152,46465,35,,,,
cifar10,densenet100k24,sync,winograd,2,139.9689,438.6781,383.2621,154.4584444,529.6185,46390,34.9375,,,,
cifar10,densenet100k24,sync,xla,1,135.09,407.0758,373.8704,169.6977778,538.0035,76083,17029,,,,
cifar10,densenet100k24,sync,xla,2,183.4337,454.1307,387.6568,152.9947778,534.5339,75643,17028.9375,,,,
cifar10,densenet40k12,async,batch128,1,27.0375,115.4659,132.5437,21.786,151.5042,52002,2757,,,,
cifar10,densenet40k12,async,batch128,2,29.9246,132.3831,144.5684,28.03866667,167.8477,51950,2756.9375,,,,
cifar10,densenet40k12,async,batch256,1,23.3633,159.6041,166.3085,27.26477778,193.2858,54051,4871,,,,
cifar10,densenet40k12,async,batch256,2,24.3149,184.1938,121.7739,88.46077778,212.2669,53999,4878.9375,,,,
cifar10,densenet40k12,async,batch32,1,24.7418,105.3645,136.0191,5.346,138.6211,21201,1173,,,,
cifar10,densenet40k12,async,batch32,2,22.0683,102.0702,122.531,15.10244444,133.2399,21195,1172.9375,,,,
cifar10,densenet40k12,async,batch512,1,30.415,279.6004,270.8254,52.26711111,316.3075,58272,717,,,,
cifar10,densenet40k12,async,batch512,2,18.8114,314.1756,150.573,179.4018889,347.3308,58407,744.9375,,,,
cifar10,densenet40k12,async,batch64,1,26.8549,100.0561,121.1362,7.870111111,127.7254,51273,12,,,,
cifar10,densenet40k12,async,batch64,2,21.0942,107.1893,128.6003,10.61266667,136.6349,51039,11.9375,,,,
cifar10,densenet40k12,async,dataFormat,1,20.7099,110.8626,140.2154,6.102555556,144.7381,20988,0,,,,
cifar10,densenet40k12,async,dataFormat,2,27.82,104.1983,130.8102,11.04544444,137.1768,20894,0,,,,
cifar10,densenet40k12,async,optMomentum,1,25.6883,124.9399,129.0648,7.393555556,133.7262,53629,12,,,,
cifar10,densenet40k12,async,optMomentum,2,25.4994,141.4476,142.0746,17.65411111,155.2736,53388,11.9375,,,,
cifar10,densenet40k12,async,optRmsprop,1,21.0382,119.8418,120.9977,9.319,128.2924,25260,387,,,,
cifar10,densenet40k12,async,optRmsprop,2,24.7063,133.5206,129.756,14.45077778,139.6241,25254,386.9375,,,,
cifar10,densenet40k12,async,usefp16,1,22.5425,132.5465,169.9155,6.763777778,174.2828,52868,387,,,,
cifar10,densenet40k12,async,usefp16,2,21.8834,119.1868,145.0514,7.425666667,149.1363,52740,386.9375,,,,
cifar10,densenet40k12,async,winograd,1,25.4997,122.0977,150.0077,6.062444444,153.6312,51272,1701,,,,
cifar10,densenet40k12,async,winograd,2,23.0352,104.2761,126.9073,11.94033333,135.7879,51403,1700.9375,,,,
cifar10,densenet40k12,async,xla,1,27.2811,100.6708,126.398,9.494555556,132.977,51077,0,,,,
